"LEGENDA (Zie ONDER deze legenda voor de inhoud!)

Kolom ""Feature op H.I.""
De functionaliteit van Hardware Insight waar het om gaat.

Kolom ""Functie""
De specifieke functie van deze feature (""Wat het moet doen"").

Kolom ""Testdoel""
Doel is om alle beschreven functies (dus in kolom ""Functie"") te gaan testen.
Het testdoel dient als input voor het maken van een bijbehorende testcase.
Dit doel komt letterlijk uit de bijbehorende bron (zie ""Bron"").
Hoe specifieker het testdoel, hoe beter de test.

Kolom ""Statisch of dynamisch""
Statisch testen
= ALLES wat kan worden getest ZONDER dat H.I. wordt uitgevoerd/draait/actief is.
Bijv: documentatie op GitHub controleren op correctheid, zoals beschreven workflowschema's, beschreven instructies, of de code checken op fouten.

Dynamisch testen
= ALLES wat kan worden getest wanneer H.I. WEL wordt uitgevoerd/draait/actief is.
Bijv: een klik op de button geeft de verwachte reactie (of juist niet), de pagina wordt correct/niet correct geladen, de zoekfunctie geeft juiste/geen juiste resultaten of helemaal niets terug.

Kolom ""Testtechniek(en)""
Specifieke techniek die het beste past bij het testdoel. Dit kunnen ook meerdere technieken tegelijk zijn.

Kolom ""Testniveau""
Er zijn 5 niveaus:
1. Componenttesten = Testen van individuele onderdelen (code). ? Uitvoering: Team Kopenhagen.
2. Component-integratietesten = Testen van samenwerking tussen componenten van H.I. ? Uitvoering: Team Kopenhagen.
3. Systeemtesten = Testen tegen de specificaties van H.I. ? Uitvoering: Team Kopenhagen/extern team.
4. Systeem-integratietesten = Testen van koppelingen met externe systemen (indien van toepassing). ? Uitvoering: Team Kopenhagen.
5. Acceptatietesten = Testen of H.I. voldoet aan het gemak van de gebruiker. ? Uitvoering: eindgebruikers, stakeholders (ondersteund door team Kopenhagen).

Kolom ""Testtype""
Functioneel = wat deze functie feitelijk zou moeten doen.
Niet-functioneel (usability) = in hoeverre hoe goed deze functie doet wat het zou moeten doen.

Kolom ""Handmatig of automated""
Kiezen voor de test handmatig doen of gebruik maken van automation (tools waarmee de test uitgevoerd kan worden).

Kolom ""Bron""
De bron waarop dit testdoel en alle andere beschreven informatie is gebaseerd.
Requirementsanalyse = te vinden op GitHub Team Kopenhagen (gemaakt door Timon)
Testresultaten Lana = bevindingen van Lana (staat op Kendo)
Taken Robin = input van Robin voor het maken van tests (staat op Kendo)
";;;;;;;;;;;;;;;;;;;;;;;;;
Feature op H.I:;Functie;Testdoel;Statisch of dynamisch;Testtechniek(en);Testniveau;Testtype;Handmatig of automated;Bron:;;;;;;;;;;;;;;;;;
Meldingsprocedure;Invoermogelijkheden;"De gebruiker heeft tijdens de meldingsprocedure mogelijkheid het volgende in te voeren:

o	Werkpleknummer
o	Naam deelnemer
o	Probleemomschrijving
o	Een subcategorie aan de probleemomschrijving toevoegen
o	Prioriteit/ernst selecteren. “Normale prioriteit” behoort tot de standaard selectie
o	Component/producttype
o	Merk
o	Serienummer
o	Aanschafjaar
o	Foto/bijlagen";"Dynamisch
(systeem in gebruik)";"End-to-end-testen
(workflow)";Acceptatie;Functioneel;Handmatig;Requirementsanalyse;;;;;;;;;;;;;;;;;
Incidentmanagement;Incidenten toewijzen;De gebruiker (wie?) heeft de mogelijkheid om een incident toe te wijzen aan een andere gebruiker (wie?) die het incident verhelpt (hoe verloopt dit?).;"Dynamisch
(systeem in gebruik)";"End-to-end-testen
(workflow)";Acceptatie;Functioneel;Handmatig;Requirementsanalyse;;;;;;;;;;;;;;;;;
Incidentmanagement;Data-overdracht;Meldingen (tickets) komen binnen in het systeem en zijn zichtbaar voor personen die rechten hebben binnen het systeem om deze tickets te zien en te beheren.;"Dynamisch
(systeem in gebruik)";Decision Table-testen;Unit-integratie;Functioneel;Handmatig;Requirementsanalyse;;;;;;;;;;;;;;;;;
Incidentmanagement;Sorteerfunctie tickets;Tickets kunnen gesorteerd worden op datum, prioriteit en status van afhandeling.;"Dynamisch
(systeem in gebruik)";"End-to-end-testen
(workflow)";Acceptatie;Functioneel;Handmatig;Requirementsanalyse;;;;;;;;;;;;;;;;;
Incidentmanagement;Beheer administrator;"De administrator heeft mogelijkheid om:
o	Tickets te verwijderen
o	Tickets toe te wijzen aan andere administrators, die daarmee verantwoordelijk zijn voor het oplossen van het ticket
o	Gebruikers te beheren, aanmaken, wijzigen en verwijderen
o	Gebruikersrechten te beheren Is dit de volledige omschrijving?";"Dynamisch
(systeem in gebruik)";"End-to-end-testen
(workflow)";Acceptatie;Functioneel;Handmatig;Requirementsanalyse;;;;;;;;;;;;;;;;;
Traceability;Verwijderingen;Alles wat in het systeem verwijderd wordt (wat te verwijderen, wanneer en door wie?), krijgt de status “verwijderd” (waar?) en zal onzichtbaar zijn in het systeem (onzichtbaar voor wie en waar is dit dan onzichtbaar geworden?);"Dynamisch
(systeem in gebruik)";;Unit-integratie;Functioneel;Handmatig;Requirementsanalyse;;;;;;;;;;;;;;;;;
Traceability;Terughalen verwijderde inhoud;De administrator kan de verwijderde data terughalen (hoe?);;;Componenten;Functioneel;Handmatig;Requirementsanalyse;;;;;;;;;;;;;;;;;
Traceability;Cron-job;Door middel van een cron-job (wat is dit?) zullen items die ouder zijn dan bijvoorbeeld twee jaar (is deze tijdsduur inmiddels vastgesteld?) automatisch verwijderd worden.;"Dynamisch
(systeem in gebruik)";;Componenten;Functioneel;Handmatig;Requirementsanalyse;;;;;;;;;;;;;;;;;
Configuratiemanagement;Inzage staat van hardwarecomponenten;"De functie die inzicht aan de gebruiker (welke gebruiker is dit?) biedt om de huidige staat van de hardwarecomponenten van de werkplekken van Script in te zien houdt gedane meldingen bij.

De gegevens van deze functie bestaan uit:

o	Doorlooptijden
o	Responstijden
o	Wijzigingen
o	Routinematige problemen
o	Status van componenten
o	Preventieve maatregelen (bv. onderhoud nog meer?) 
o	Status gegevens van een incident
o	Datums van registraties en wijzigingen
o	Sorteren van meldingen (bv. ernst, meldingsdatum nog meer?)
o	Filteren van meldingen (bv. openstaand, afgesloten nog meer?)
o	De geschiedenis van incidenten is opvraagbaar.";"Dynamisch
(systeem in gebruik)";"End-to-end-testen
(workflow)";Unit-integratie;Functioneel;Handmatig;Requirementsanalyse;;;;;;;;;;;;;;;;;
Configuratiemanagement;"Rapportage/
documentatie";De configuratie-items worden bijgehouden in rapporten (wat is de wenselijke manier hiervoor, is dit al ontwikkeld, hoe ziet dit eruit?);"Dynamisch
(systeem in gebruik)";;Unit-integratie;Functioneel;Handmatig;Requirementsanalyse;;;;;;;;;;;;;;;;;
Meldingsprocedure;Button “Nieuw ticket”;De tekst op de button voor het aanmaken van een nieuw ticket is voor de gebruiker duidelijk.;"Dynamisch
(systeem in gebruik)";"End-to-end-testen
(workflow)";Acceptatie;Niet-functioneel (usability);Handmatig;"Testresultaten Lana
(23 april jl.)";;;;;;;;;;;;;;;;;
Meldingsprocedure;Ticket-showpagina;De gebruiker begrijpt hoe de berichten op de ticket-showpagina gevonden kunnen worden.;"Dynamisch
(systeem in gebruik)";"End-to-end-testen
(workflow)";Acceptatie;Niet-functioneel (usability);Handmatig;"Testresultaten Lana
(23 april jl.)";;;;;;;;;;;;;;;;;
Meldingsprocedure;Tabbladen;De tabbladen (waar precies?) zijn voor de gebruiker duidelijk.;"Dynamisch
(systeem in gebruik)";"End-to-end-testen
(workflow)";Acceptatie;Niet-functioneel (usability);Handmatig;"Testresultaten Lana
(23 april jl.)";;;;;;;;;;;;;;;;;
Meldingsprocedure;Bewerkbaarheid ticket;Het bevordert de usability van de gebruiker wanneer tickets door middel van een specifieke functie bewerkt kunnen worden op de showpagina.;"Dynamisch
(systeem in gebruik)";"End-to-end-testen
(workflow)";Acceptatie;Niet-functioneel (usability);Handmatig;"Testresultaten Lana
(23 april jl.)";;;;;;;;;;;;;;;;;
Meldingsprocedure;Bijlage toevoegen;Het bevordert de usability van de gebruiker wanneer bijlagen direct toegevoegd kunnen worden door middel van een “+”-button.;"Dynamisch
(systeem in gebruik)";"End-to-end-testen
(workflow)";Acceptatie;Niet-functioneel (usability);Handmatig;"Testresultaten Lana
(23 april jl.)";;;;;;;;;;;;;;;;;
Meldingsprocedure;Ticket-showpagina openen;Het bevordert de usability van de gebruiker wanneer de ticket-showpagina tevens geopend kan worden wanneer “de balk” (wat is dit?) klikbaar is.;"Dynamisch
(systeem in gebruik)";"End-to-end-testen
(workflow)";Acceptatie;Niet-functioneel (usability);Handmatig;"Testresultaten Lana
(23 april jl.)";;;;;;;;;;;;;;;;;
Meldingsprocedure;Button “Ticket opslaan”;De button “Ticket opslaan”, onderaan de pagina, springt voor de gebruiker direct in het oog en is niet verstopt.;"Dynamisch
(systeem in gebruik)";"End-to-end-testen
(workflow)";Acceptatie;Niet-functioneel (usability);Handmatig;"Testresultaten Lana
(23 april jl.)";;;;;;;;;;;;;;;;;
Meldingsprocedure;Tijdsduur;De gebruiker (deelnemer?) doorloopt binnen twee minuten de procedure om een melding maken van een incident met een hardwarecomponent.;"Dynamisch
(systeem in gebruik)";"End-to-end-testen
(workflow)";Acceptatie;Niet-functioneel (usability);Handmatig;Requirementsanalyse;;;;;;;;;;;;;;;;;
Incidentmanagement;Incidenten behandelen;Voor de gebruiker (administrator? Deelnemer?) is het duidelijk welke stappen hij/zij moet nemen om een toegewezen incident te behandelen.;"Statisch
(systeem niet in gebruik)";"End-to-end-testen
(workflow)";Acceptatie;Niet-functioneel (usability);Handmatig;Requirementsanalyse;;;;;;;;;;;;;;;;;
Incidentmanagement;Omschrijvingen van oplossingen op problemen (?);"Bijvoorbeeld: updates, workarounds, vervanging, etc.
(wat wordt hier precies mee bedoeld?)";;;;;Handmatig;Requirementsanalyse;;;;;;;;;;;;;;;;;
Functionele beschrijving Hardware Insight;Documentatie GitHub;Beschreven functionaliteiten (requirements) testen op volledigheid en ondubbelzinnigheid.;"Statisch
(systeem niet in gebruik)";Review;Componenten;Functioneel;Handmatig;Requirementsanalyse;;;;;;;;;;;;;;;;;
Database Hardware Insight;Database;Wat moet hier precies getest worden?;;;;;;"Taken Robin 
(23 april jl.)";;;;;;;;;;;;;;;;;
Helpsectie webapplicatie Hardware Insight;Handleiding/helppagina;Het is voor de deelnemer duidelijk waarvoor, wanneer en hoe hij/zij de helppagina (handleiding) van Hardware Insight op de webapplicatie kan vinden.;"Dynamisch
(systeem in gebruik)";"End-to-end-testen
(workflow)";Acceptatie;Niet-functioneel (usability);Handmatig;"Uitkomst bespreking 
(23 april jl.)";;;;;;;;;;;;;;;;;
Hardware Insight algemeen;Links;Alle links op webapplicatie Hardware Insight werken correct.;"Dynamisch
(systeem in gebruik)";Alpha/Beta-testen;Acceptatie;Niet-functioneel (usability);Handmatig;"Taken Robin 
(23 april jl.)";;;;;;;;;;;;;;;;;
Hardware Insight algemeen;Code;De code is overzichtelijk en consistent genoteerd voor een zo groot mogelijke onderhoudsvriendelijkheid voor de developers.;"Statisch
(systeem niet in gebruik)";Statische analyse;Componenten;Functioneel;Handmatig;"Taken Robin 
(23 april jl.)";;;;;;;;;;;;;;;;;
Hardware Insight algemeen;Code;De code bevat geen ongebruikte code.;"Statisch
(systeem niet in gebruik)";Statische analyse;Componenten;Functioneel;Handmatig;"Taken Robin 
(23 april jl.)";;;;;;;;;;;;;;;;;
Hardware Insight algemeen;Code;De code is zo kort mogelijk genoteerd.;"Statisch
(systeem niet in gebruik)";Statische analyse;Componenten;Functioneel;Handmatig;"Taken Robin 
(23 april jl.)";;;;;;;;;;;;;;;;;
Hardware Insight algemeen;Code;Loops zijn afgebakend met een einde.;"Statisch
(systeem niet in gebruik)";White-box-testen (statements);Componenten;Functioneel;Handmatig;"Taken Robin 
(23 april jl.)";;;;;;;;;;;;;;;;;
Hardware Insight algemeen;Code;Alle coderegels worden uitgevoerd.;"Dynamisch
(systeem in gebruik)";White-box-testen (statements);Componenten;Functioneel;Handmatig;"Taken Robin 
(23 april jl.)";;;;;;;;;;;;;;;;;
Hardware Insight algemeen;Code;ARIA-labels zijn genoteerd voor mensen met een visuele beperking.;"Statisch
(systeem niet in gebruik)";Statische analyse;Componenten;Functioneel;Handmatig;"Taken Robin 
(23 april jl.)";;;;;;;;;;;;;;;;;
Hardware Insight algemeen;Code;Alle beslissingen (if/else) genoteerd in de code worden doorlopen.;"Dynamisch
(systeem in gebruik)";White-box-testen (branches en decisions);Componenten;Functioneel;Handmatig;"Taken Robin 
(23 april jl.)";;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
